source,type_bien,gouvernorat,ville,surface_m2,nb_pieces,nb_chambres,nb_salles_bain,etage,ascenseur,parking,piscine,climatisation,chauffage_central,meuble,prix_dt
mubawab,appartement,Tunis,,150.0,3.0,3.0,2.0,unknown,1,1,0,1,0,0,455000.0
mubawab,appartement,Tunis,,70.0,2.0,2.0,1.0,unknown,1,0,0,1,1,0,235000.0
mubawab,appartement,Tunis,Manar,134.0,3.0,3.0,2.0,unknown,1,1,0,1,1,0,300000.0
mubawab,appartement,Tunis,,70.0,1.0,1.0,1.0,unknown,0,0,0,1,1,0,189000.0
mubawab,appartement,Tunis,,300.0,3.0,3.0,,unknown,0,1,0,0,0,0,1050000.0
mubawab,appartement,Tunis,,112.0,3.0,3.0,2.0,unknown,1,1,0,1,1,0,350000.0
mubawab,appartement,Tunis,,86.0,4.0,3.0,1.0,unknown,0,1,0,0,1,0,260000.0
mubawab,appartement,Tunis,,201.0,4.0,3.0,1.0,unknown,1,1,0,1,1,0,1300000.0
mubawab,appartement,Tunis,,93.0,2.0,2.0,1.0,unknown,1,1,0,1,1,0,390000.0
mubawab,appartement,Tunis,,100.0,2.0,2.0,1.0,unknown,1,0,0,0,1,0,269000.0
mubawab,appartement,Tunis,,106.0,3.0,3.0,2.0,floor_7,1,1,0,1,1,0,360000.0
mubawab,appartement,Tunis,Manar,134.0,3.0,3.0,2.0,unknown,1,0,0,0,1,0,220000.0
mubawab,appartement,Tunis,,165.0,3.0,3.0,2.0,unknown,1,0,0,1,1,0,579000.0
mubawab,appartement,Tunis,,163.0,3.0,3.0,3.0,unknown,1,1,0,1,1,0,355000.0
mubawab,appartement,Tunis,,118.0,3.0,3.0,1.0,unknown,0,1,0,0,1,0,265000.0
mubawab,appartement,Tunis,,208.0,4.0,3.0,,unknown,0,1,0,0,0,0,1300000.0
mubawab,appartement,Tunis,El Menzah 9,211.0,4.0,4.0,2.0,unknown,1,1,0,0,0,0,570000.0
mubawab,appartement,Tunis,,127.0,2.0,2.0,1.0,unknown,1,1,0,1,1,0,395000.0
mubawab,appartement,Tunis,,80.0,2.0,2.0,1.0,unknown,1,1,0,1,1,0,530000.0
mubawab,appartement,Tunis,,160.0,4.0,4.0,3.0,unknown,1,1,0,1,1,0,335000.0
mubawab,appartement,Tunis,,98.0,2.0,2.0,1.0,ground_floor,1,0,0,1,1,0,288000.0
mubawab,appartement,Tunis,,193.0,3.0,3.0,,unknown,0,1,0,0,0,0,1100000.0
mubawab,appartement,Tunis,,74.0,2.0,2.0,1.0,unknown,1,1,0,1,1,0,225000.0
mubawab,appartement,Tunis,El Ouardia,137.0,2.0,2.0,1.0,unknown,0,1,0,1,1,0,290000.0
mubawab,appartement,Tunis,,137.0,3.0,3.0,2.0,unknown,1,1,0,1,1,0,320000.0
mubawab,appartement,Tunis,El Menzah 1,70.0,3.0,2.0,1.0,unknown,0,0,0,0,0,0,195000.0
mubawab,appartement,Tunis,,80.0,1.0,,,unknown,0,0,0,0,0,0,420000.0
mubawab,appartement,Tunis,,140.0,3.0,3.0,1.0,unknown,1,1,0,1,1,0,320000.0
mubawab,appartement,Tunis,,146.0,2.0,2.0,2.0,unknown,1,1,0,1,1,0,916000.0
mubawab,appartement,Tunis,,118.0,2.0,2.0,2.0,unknown,1,0,0,1,1,0,340000.0
mubawab,appartement,Tunis,,110.0,2.0,2.0,1.0,unknown,1,1,0,1,1,1,590000.0
mubawab,appartement,Tunis,,168.0,3.0,3.0,1.0,unknown,1,1,0,1,1,0,630000.0
mubawab,appartement,Tunis,,220.0,3.0,3.0,3.0,ground_floor,0,1,0,1,1,0,695000.0
mubawab,appartement,Tunis,,192.0,3.0,3.0,2.0,unknown,1,0,0,0,1,0,375000.0
mubawab,appartement,Tunis,,65.0,2.0,2.0,1.0,unknown,0,0,0,0,0,0,130000.0
mubawab,appartement,Tunis,,122.0,2.0,2.0,1.0,unknown,1,1,0,0,1,0,375000.0
mubawab,appartement,Tunis,,220.0,3.0,3.0,3.0,unknown,1,1,0,1,1,1,950000.0
mubawab,appartement,Tunis,,107.0,2.0,2.0,1.0,unknown,1,0,0,1,1,0,315000.0
mubawab,appartement,Tunis,,312.0,4.0,3.0,3.0,unknown,1,1,1,1,1,0,1900000.0
mubawab,appartement,Tunis,El Ouardia,110.0,2.0,2.0,1.0,unknown,0,0,0,0,1,0,280000.0
mubawab,appartement,Tunis,,56.0,3.0,3.0,1.0,unknown,1,0,0,1,1,0,188000.0
mubawab,appartement,Tunis,El Menzah 1,120.0,2.0,2.0,1.0,ground_floor,0,1,0,1,1,0,280000.0
mubawab,appartement,Tunis,,120.0,2.0,,2.0,unknown,1,1,0,1,1,0,670000.0
mubawab,appartement,Tunis,,,1.0,,1.0,unknown,1,1,0,1,1,0,275000.0
mubawab,appartement,Tunis,Centre Urbain Nord,132.0,2.0,2.0,2.0,unknown,1,1,0,1,1,0,430000.0
mubawab,appartement,Tunis,,115.0,2.0,2.0,1.0,unknown,1,1,0,1,1,0,560000.0
mubawab,appartement,Tunis,,162.0,3.0,3.0,1.0,unknown,1,1,0,1,1,0,550000.0
mubawab,appartement,Tunis,,100.0,2.0,2.0,1.0,floor_1,1,1,0,1,1,0,310000.0
mubawab,appartement,Tunis,,107.0,2.0,2.0,1.0,unknown,1,0,0,1,1,0,298000.0
mubawab,appartement,Tunis,,140.0,3.0,3.0,1.0,unknown,1,0,0,1,1,0,490000.0
mubawab,appartement,Tunis,Manar,203.0,4.0,4.0,3.0,unknown,0,1,0,1,1,0,490000.0
mubawab,appartement,Tunis,,150.0,4.0,3.0,2.0,ground_floor,0,1,0,1,1,0,700000.0
mubawab,appartement,Tunis,,54.0,1.0,,1.0,unknown,1,1,0,1,1,0,245000.0
mubawab,appartement,Tunis,,135.0,4.0,3.0,3.0,unknown,1,1,0,1,1,0,1100000.0
mubawab,appartement,Tunis,,102.0,3.0,3.0,1.0,unknown,1,0,0,1,1,0,245000.0
mubawab,appartement,Tunis,,69.0,2.0,2.0,1.0,unknown,0,1,0,0,0,0,450000.0
mubawab,appartement,Tunis,,129.0,3.0,3.0,1.0,unknown,0,1,0,1,1,0,370000.0
mubawab,appartement,Tunis,,145.0,3.0,3.0,2.0,unknown,0,0,0,1,1,0,298000.0
mubawab,appartement,Tunis,,108.0,2.0,2.0,1.0,unknown,1,1,0,1,1,0,399600.0
mubawab,appartement,Tunis,Manar,140.0,3.0,3.0,2.0,unknown,1,0,0,1,1,0,310000.0
mubawab,appartement,Tunis,,62.0,3.0,,1.0,unknown,0,0,0,0,1,0,210000.0
mubawab,appartement,Tunis,,148.0,3.0,3.0,1.0,unknown,1,0,0,1,1,0,350000.0
mubawab,appartement,Tunis,,106.0,2.0,2.0,1.0,unknown,1,1,0,1,1,0,380000.0
mubawab,appartement,Tunis,,115.0,3.0,3.0,2.0,unknown,1,0,0,1,1,0,425000.0
mubawab,appartement,Tunis,El Ouardia,100.0,3.0,3.0,1.0,ground_floor,0,0,0,0,0,0,174000.0
mubawab,appartement,Tunis,,75.0,2.0,2.0,1.0,unknown,0,1,0,0,0,0,430000.0
mubawab,appartement,Tunis,,124.0,3.0,3.0,2.0,floor_1,1,1,0,1,1,0,210000.0
mubawab,appartement,Tunis,,158.0,3.0,3.0,,unknown,0,1,0,0,0,0,750000.0
mubawab,appartement,Tunis,,63.0,1.0,1.0,1.0,unknown,1,0,0,1,1,0,247000.0
mubawab,appartement,Tunis,,134.0,2.0,2.0,2.0,floor_2,0,1,0,1,1,0,300000.0
mubawab,appartement,Tunis,,230.0,3.0,3.0,2.0,unknown,1,1,0,0,0,0,1150000.0
mubawab,appartement,Tunis,,80.0,1.0,,,unknown,0,1,0,0,0,0,440000.0
mubawab,appartement,Tunis,,60.0,1.0,1.0,1.0,unknown,1,1,0,1,1,1,380000.0
mubawab,appartement,Tunis,,134.0,3.0,3.0,1.0,unknown,1,1,0,1,1,0,230000.0
mubawab,appartement,Tunis,,101.0,2.0,2.0,1.0,floor_1,1,1,0,1,1,0,351000.0
mubawab,appartement,Tunis,,170.0,3.0,3.0,2.0,unknown,1,1,0,1,1,0,60000.0
mubawab,appartement,Tunis,,110.0,2.0,2.0,1.0,floor_4,0,1,0,1,1,0,295000.0
mubawab,appartement,Tunis,,59.0,2.0,2.0,2.0,unknown,1,1,0,1,1,1,550000.0
mubawab,appartement,Tunis,,55.0,1.0,1.0,1.0,ground_floor,1,0,0,1,1,0,185000.0
mubawab,appartement,Tunis,,68.0,1.0,,1.0,unknown,1,0,0,1,1,0,248000.0
mubawab,appartement,Tunis,,115.0,2.0,2.0,2.0,unknown,1,1,0,1,1,0,340000.0
mubawab,appartement,Tunis,,109.0,3.0,3.0,1.0,unknown,1,0,0,1,1,0,280000.0
mubawab,appartement,Tunis,,146.0,3.0,3.0,3.0,unknown,1,1,0,1,1,0,380000.0
mubawab,appartement,Tunis,Centre Urbain Nord,90.0,2.0,2.0,1.0,unknown,1,1,0,1,1,0,380000.0
mubawab,appartement,Tunis,,149.0,3.0,3.0,2.0,floor_2,1,1,0,1,1,0,365000.0
mubawab,appartement,Tunis,,73.0,1.0,,1.0,unknown,1,1,0,1,1,0,260000.0
mubawab,appartement,Tunis,,75.0,1.0,1.0,1.0,floor_4,1,0,0,1,1,0,170000.0
mubawab,appartement,Tunis,,86.0,2.0,2.0,1.0,unknown,0,1,0,0,0,0,353000.0
mubawab,appartement,Tunis,,60.0,2.0,2.0,,floor_1,0,0,0,0,1,0,130000.0
mubawab,appartement,Tunis,,300.0,3.0,3.0,,unknown,0,1,1,0,0,0,1800000.0
mubawab,appartement,Tunis,,65.0,2.0,2.0,1.0,floor_1,0,0,0,0,0,0,100000.0
mubawab,appartement,Tunis,,87.0,1.0,,1.0,unknown,1,1,0,1,1,0,450000.0
mubawab,appartement,Tunis,,297.0,4.0,3.0,2.0,ground_floor,0,1,0,1,1,0,475000.0
mubawab,appartement,Tunis,,90.0,2.0,2.0,1.0,floor_1,0,0,0,0,0,0,285000.0
mubawab,appartement,Tunis,El Ouardia,120.0,4.0,3.0,1.0,unknown,0,0,0,1,0,0,250000.0
mubawab,appartement,Tunis,,114.0,2.0,2.0,1.0,unknown,1,1,0,1,1,0,290000.0
mubawab,appartement,Tunis,,160.0,3.0,3.0,1.0,unknown,0,1,0,1,0,1,730000.0
mubawab,appartement,Tunis,,150.0,3.0,3.0,3.0,unknown,1,1,0,0,0,0,590000.0
mubawab,appartement,Tunis,,125.0,3.0,3.0,2.0,ground_floor,0,1,0,1,1,0,465000.0
mubawab,appartement,Tunis,,108.0,3.0,2.0,1.0,floor_1,0,1,0,0,0,0,250000.0
mubawab,appartement,Tunis,,90.0,1.0,,1.0,unknown,1,1,0,1,1,0,420000.0
mubawab,appartement,Tunis,,113.0,4.0,3.0,2.0,unknown,0,0,0,1,1,0,520000.0
mubawab,appartement,Tunis,,80.0,3.0,3.0,1.0,unknown,1,0,0,0,0,0,230000.0
mubawab,appartement,Tunis,,75.0,1.0,,1.0,unknown,1,1,0,1,1,0,560000.0
mubawab,appartement,Tunis,,113.0,3.0,2.0,1.0,unknown,1,1,0,1,1,0,350000.0
mubawab,appartement,Tunis,,94.0,3.0,3.0,1.0,unknown,1,0,0,1,1,0,280000.0
mubawab,appartement,Tunis,,65.0,1.0,1.0,1.0,unknown,0,0,0,0,0,0,120000.0
mubawab,appartement,Tunis,Manar,109.0,2.0,2.0,1.0,unknown,0,0,0,0,1,0,195000.0
mubawab,appartement,Tunis,,158.0,3.0,3.0,2.0,unknown,1,1,0,1,1,0,730000.0
mubawab,appartement,Tunis,,108.0,2.0,2.0,1.0,unknown,1,1,0,1,1,0,335000.0
mubawab,appartement,Tunis,,45.0,3.0,2.0,,floor_1,0,0,0,0,0,0,95000.0
mubawab,appartement,Tunis,,,1.0,,1.0,floor_1,1,1,0,1,1,0,259400.0
mubawab,appartement,Tunis,,584.0,4.0,4.0,4.0,ground_floor,0,1,0,1,1,0,2600000.0
mubawab,appartement,Tunis,,312.0,3.0,3.0,2.0,unknown,1,1,0,1,1,0,1600000.0
mubawab,appartement,Tunis,,62.0,1.0,1.0,1.0,unknown,0,0,0,0,0,0,195000.0
mubawab,appartement,Tunis,,136.0,3.0,3.0,2.0,unknown,1,1,0,1,1,0,375000.0
mubawab,appartement,Tunis,,54.0,1.0,1.0,1.0,unknown,1,0,0,0,1,0,193000.0
mubawab,appartement,Tunis,,64.0,1.0,,1.0,unknown,0,1,0,1,1,1,260000.0
mubawab,appartement,Tunis,,200.0,3.0,3.0,2.0,unknown,1,1,0,1,1,0,1300000.0
mubawab,appartement,Tunis,,157.0,3.0,3.0,1.0,unknown,0,0,0,0,0,1,400000.0
mubawab,appartement,Tunis,,185.0,4.0,4.0,2.0,unknown,1,1,0,1,1,0,385000.0
mubawab,appartement,Tunis,,58.0,1.0,,1.0,unknown,0,0,0,1,1,0,245000.0
mubawab,appartement,Tunis,,121.0,3.0,3.0,2.0,unknown,1,0,0,1,1,0,325000.0
mubawab,appartement,Tunis,,90.0,2.0,2.0,1.0,ground_floor,1,0,0,1,1,0,238000.0
mubawab,appartement,Tunis,,42.0,1.0,1.0,1.0,unknown,1,1,0,1,1,0,186000.0
mubawab,appartement,Tunis,,137.0,3.0,3.0,2.0,unknown,1,0,0,1,1,0,370000.0
mubawab,appartement,Tunis,,193.84,3.0,3.0,3.0,unknown,1,1,0,1,1,0,1330000.0
mubawab,appartement,Tunis,,66.0,1.0,,1.0,unknown,1,0,0,1,0,0,259000.0
mubawab,appartement,Tunis,,108.0,2.0,2.0,2.0,unknown,1,0,0,1,1,0,315000.0
mubawab,appartement,Tunis,Manar,125.0,3.0,3.0,2.0,floor_1,1,0,0,1,1,0,300000.0
mubawab,appartement,Tunis,,60.0,1.0,,1.0,unknown,1,1,0,1,1,1,340000.0
mubawab,appartement,Tunis,,140.0,3.0,3.0,2.0,ground_floor,1,1,0,1,1,0,550000.0
mubawab,appartement,Tunis,,122.0,2.0,2.0,2.0,unknown,1,1,0,1,1,0,435000.0
mubawab,appartement,Tunis,,48.0,1.0,1.0,1.0,unknown,1,1,0,1,1,0,186000.0
mubawab,appartement,Tunis,,53.0,1.0,1.0,1.0,floor_7,1,0,0,1,1,0,198000.0
mubawab,appartement,Tunis,,83.0,2.0,2.0,1.0,unknown,0,1,0,1,1,1,265000.0
mubawab,appartement,Tunis,,106.0,2.0,2.0,3.0,unknown,1,1,0,1,1,0,380000.0
