id,source,url,type_transaction,type_bien,titre,gouvernorat,ville,prix_dt,surface_m2,nb_pieces,nb_chambres,nb_salles_bain,etage,ascenseur,parking,piscine,climatisation,chauffage_central,meuble,description_brute,date_scraping
tayara_6a96a59233f4b02206bdfcdc,tayara,https://www.tayara.tn/item/appartements/ariana/la-soukra/al-s1-sokra-parc-vide-1000dt/6a96a59233f4b02206bdfcdc/,location,appartement,AL S+1 sokra parc vide 1000dt,Tunis,La Soukra,1000.0,,1,1,60,2ème étage,False,True,False,True,False,False,"AL S+1 sokra parc vide 1000dt | Tayara Publicité Contactez-nous : +216 95 256 096 Explorer Nos boutiques ImmoNeuf Promoteurs Offres et services Votre récente recheche: Pas de recheches récentes Filtre avancé Publier une annonce Se connecter Boutiques ImmoNeuf Annonce Messages Profil Retour Accueil appartements ariana la-soukra al-s1-sokra-parc-vide-1000dt ❯ ❮ ❯ ❮ ❯ ❮ Accueil Appartements Ariana La soukra Al s1 sokra parc vide 1000dt Boutique agence acs immo 23 annonce(s) bureau C210-Ariana centre 2080 Tunis, Tunisie Chat avec le vendeur Discuter sur WhatsApp Afficher le numéro Simulez votre crédit Nous Contacter Partager l ' annonce Signaler AL S+1 sokra parc vide 1000dt 1 000 DT immobilier Ariana , an hour ago Entregitrer Signaler Description la soukra parc : à louer S1 vide au 2ème étage composé d'un salon 1 chambre clim chauffage dressing place parking avec abri residence sécurisée loyer 1000dt pour rdv et visite Afficher le numéro Lire plus Critères Type de transaction À Louer Superficie 60 Salles de bains 1 Chambres 2 Vous trouverez aussi chez agence acs immo n'a pas d'autres annonces actives Boutique agence acs immo Chat avec le vendeur Acheter et vendre gratuitement près de chez vous Immo-Expert Aide Contactez-nous Professionnels Conditions d'utilisation Politiques relatives aux cookies Raccourcis Publier une annonce Visiter une boutique Filtres avancés Rechercher sur tayara Offres et services Bons plans Contactez-nous Vous avez une question? appelez ce numéro +216 95 256 096 Retrouvez-nous sur • صوّر بيع • لوّج إشري",2026-09-03T12:50:50
tayara_6a943ec833f4b02206bd011b,tayara,https://www.tayara.tn/item/appartements/tunis/l-aouina/appartement-62-m-jardins-laouina/6a943ec833f4b02206bd011b/,vente,appartement,Appartement 62 m² à Jardins l'Aouina.,Tunis,L Aouina,185000.0,62.0,,1,62,,True,False,False,False,False,False,"Appartement 62 m² à Jardins l'Aouina. | Tayara Publicité Contactez-nous : +216 95 256 096 Explorer Nos boutiques ImmoNeuf Promoteurs Offres et services Votre récente recheche: Pas de recheches récentes Filtre avancé Publier une annonce Se connecter Boutiques ImmoNeuf Annonce Messages Profil Retour Accueil appartements tunis l-aouina appartement-62-m-jardins-laouina ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ Accueil Appartements Tunis L aouina Appartement 62 m jardins laouina ben khedher jamil 1 annonce(s) Chat avec le vendeur Discuter sur WhatsApp Afficher le numéro Simulez votre crédit Partager l ' annonce Signaler Appartement 62 m² à Jardins l'Aouina. 185 000 DT immobilier Tunis , 2 days ago Entregitrer Signaler Description Appartement haut standing au deuxieme etage avec ascenseur et vue degagée des 3 cotés sur les jardins de la résidence , très bien positionné ensoleillé des 3 cotés , l'emplacement ideal pour le lifestyle de l'Aouina , meilleurs cafés resto patisseries de haute qualité et supermarchés tous à 1 min de marche ( Rue Sidi Zid ) ,tout les papiers sont en regle. (AI utilisé pour enlever surplus d'objets ). Lire plus Critères Type de transaction À Vendre Superficie 62 Salles de bains 1 Chambres 1 ben khedher jamil Chat avec le vendeur Acheter et vendre gratuitement près de chez vous Immo-Expert Aide Contactez-nous Professionnels Conditions d'utilisation Politiques relatives aux cookies Raccourcis Publier une annonce Visiter une boutique Filtres avancés Rechercher sur tayara Offres et services Bons plans Contactez-nous Vous avez une question? appelez ce numéro +216 95 256 096 Retrouvez-nous sur • صوّر بيع • لوّج إشري",2026-09-03T12:50:52
tayara_6a80220a86fe4424fc310112,tayara,https://www.tayara.tn/item/appartements/tunis/autres-villes/a-louer-appartement-beb-el-khadra/6a80220a86fe4424fc310112/,location,appartement,A louer appartement beb el khadra,Tunis,Autres Villes,,,,1,,,False,False,False,False,False,False,"A louer appartement beb el khadra | Tayara Publicité Contactez-nous : +216 95 256 096 Explorer Nos boutiques ImmoNeuf Promoteurs Offres et services Votre récente recheche: Pas de recheches récentes Filtre avancé Publier une annonce Se connecter Boutiques ImmoNeuf Annonce Messages Profil Retour Accueil appartements tunis autres-villes a-louer-appartement-beb-el-khadra ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ Accueil Appartements Tunis Autres villes A louer appartement beb el khadra faten ben khemis 2 annonce(s) Chat avec le vendeur Discuter sur WhatsApp Afficher le numéro Simulez votre crédit Partager l ' annonce Signaler A louer appartement beb el khadra immobilier Tunis , 6 days ago Entregitrer Signaler Description Appartement lumineux au troisième étage sis à bab el khadhra rue Sidi abdelhak a 2min de marche de l arrêt de bab el khadhra composé de deux pièces un salon et cuisine ouverte un balcon et un séchoir partagé 
Pour deux personnes max
شقة في الطابق الثالث من العمارة الكائنة بنهج سيدي عبد الحق  باب الخضراء تونس تبعد 2دقيقتين مشيا عن محطة الحافلات بباب الخضراء متكونة من غرفتين و صالة مع مطبخ و شرفة مطلة على الشارع
لشخصين فقط
Contact Afficher le numéro Lire plus Critères Type de transaction À Louer Salles de bains 1 Chambres 2 faten ben khemis Chat avec le vendeur Acheter et vendre gratuitement près de chez vous Immo-Expert Aide Contactez-nous Professionnels Conditions d'utilisation Politiques relatives aux cookies Raccourcis Publier une annonce Visiter une boutique Filtres avancés Rechercher sur tayara Offres et services Bons plans Contactez-nous Vous avez une question? appelez ce numéro +216 95 256 096 Retrouvez-nous sur • صوّر بيع • لوّج إشري",2026-09-03T12:50:54
tayara_6a9955a833f4b02206bf6255,tayara,https://www.tayara.tn/item/appartements/tunis/el-manar-1/manar-1-des-appartements-s2-louer/6a9955a833f4b02206bf6255/,location,appartement,📍MANAR 1  : DES APPARTEMENTS S+2 À LOUER,Tunis,El Manar 1,,,2,1,0,2ème étage,False,False,False,False,False,False,"📍MANAR 1  : DES APPARTEMENTS S+2 À LOUER | Tayara Publicité Contactez-nous : +216 95 256 096 Explorer Nos boutiques ImmoNeuf Promoteurs Offres et services Votre récente recheche: Pas de recheches récentes Filtre avancé Publier une annonce Se connecter Boutiques ImmoNeuf Annonce Messages Profil Retour Accueil appartements tunis el-manar-1 manar-1-des-appartements-s2-louer ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ Accueil Appartements Tunis El manar 1 Manar 1 des appartements s2 louer anonym användare 1 annonce(s) Chat avec le vendeur Discuter sur WhatsApp Afficher le numéro Simulez votre crédit Partager l ' annonce Signaler 📍MANAR 1  : DES APPARTEMENTS S+2 À LOUER 850 DT immobilier Tunis , 40 minutes ago Entregitrer Signaler Description L’agence #MON_RÉSEAU met à la location des appartements S+2 au 1er et 2ème étage dans une résidence privée étage proche de toutes commodités.

Il se compose de :

- Un salon 
- Une cuisine
- Une salle de bain 
- deux chambres à coucher 

Prix de location : 850 dinars 

Pour de plus amples informations veuillez contacter nos conseillères en immobilier : 

☎️Téléphone  : Afficher le numéro 📭WhatsApp : ⁨⁨ Afficher le numéro 📧E-mail : [email protected] Lire plus Critères Type de transaction À Louer Superficie 0 Salles de bains 1 Chambres 2 anonym användare Chat avec le vendeur Acheter et vendre gratuitement près de chez vous Immo-Expert Aide Contactez-nous Professionnels Conditions d'utilisation Politiques relatives aux cookies Raccourcis Publier une annonce Visiter une boutique Filtres avancés Rechercher sur tayara Offres et services Bons plans Contactez-nous Vous avez une question? appelez ce numéro +216 95 256 096 Retrouvez-nous sur • صوّر بيع • لوّج إشري",2026-09-03T12:50:58
tayara_6a99597833f4b02206bf64ca,tayara,https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/ennasr-2-lgance-confort-espace-vert-appartement-s2-avec-jardin-privatif-a-louer/6a99597833f4b02206bf64ca/,location,appartement,"ENNASR 2 | ÉLÉGANCE, CONFORT & ESPACE VERT – APPARTEMENT S+2 AVEC JARDIN PRIVATIF A LOUER",Ariana,Cit Ennasr 2,1650.0,55.0,2,1,100,rez-de-chaussée,False,True,False,True,True,False,"ENNASR 2 | ÉLÉGANCE, CONFORT & ESPACE VERT – APPARTEMENT S+2 AVEC JARDIN PRIVATIF A LOUER  | Tayara Publicité Contactez-nous : +216 95 256 096 Explorer Nos boutiques ImmoNeuf Promoteurs Offres et services Votre récente recheche: Pas de recheches récentes Filtre avancé Publier une annonce Se connecter Boutiques ImmoNeuf Annonce Messages Profil Retour Accueil appartements ariana cit-ennasr-2 ennasr-2-lgance-confort-espace-vert-appartement-s2-avec-jardin-privatif-a-louer ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ Accueil Appartements Ariana Cit ennasr 2 Ennasr 2 lgance confort espace vert appartement s2 avec jardin privatif a louer sarra 1 annonce(s) Chat avec le vendeur Discuter sur WhatsApp Afficher le numéro Simulez votre crédit Partager l ' annonce Signaler ENNASR 2 | ÉLÉGANCE, CONFORT & ESPACE VERT – APPARTEMENT S+2 AVEC JARDIN PRIVATIF A LOUER 1 650 DT immobilier Ariana , 19 minutes ago Entregitrer Signaler Description 📍 ENNASR 2 | ÉLÉGANCE, CONFORT & ESPACE VERT – APPARTEMENT S+2 AVEC JARDIN PRIVATIF A LOUER 

Mon Réseau Immobilier a le plaisir de vous présenter une adresse d’exception au cœur d’Ennasr 2, l’un des quartiers les plus prisés de la capitale.
Situé en rez-de-chaussée d’une résidence calme et sécurisée, ce magnifique appartement S+2 allie confort, fonctionnalité et qualité de vie. Son jardin privatif de 55 m², véritable prolongement de l’espace de vie, offre un cadre idéal pour des moments de détente en famille ou entre amis.

Caractéristiques :
- Chauffage central 
- Climatisation 
- Place de Parking sous sol
- Jardin
- Espaces lumineux et parfaitement agencés

📍 Emplacement privilégié, à proximité immédiate de Slim School, des commerces, des établissements scolaires et de toutes les commodités.

💰 Loyer : 1650 dinars inclus syndic

Offrez-vous une adresse où élégance, sérénité et qualité de vie se rencontrent.

📞 Mon Réseau Immobilier – Votre partenaire de confiance.

 ☎️ Afficher le numéro 38 / Afficher le numéro / Afficher le numéro Lire plus Critères Type de transaction À Vendre Superficie 100 Salles de bains 1 Chambres 2 sarra Chat avec le vendeur Acheter et vendre gratuitement près de chez vous Immo-Expert Aide Contactez-nous Professionnels Conditions d'utilisation Politiques relatives aux cookies Raccourcis Publier une annonce Visiter une boutique Filtres avancés Rechercher sur tayara Offres et services Bons plans Contactez-nous Vous avez une question? appelez ce numéro +216 95 256 096 Retrouvez-nous sur • صوّر بيع • لوّج إشري",2026-09-03T12:51:01
tayara_6a97f99e33f4b02206beb740,tayara,https://www.tayara.tn/item/appartements/ariana/la-soukra/location-grand-s4-au-rue-du-parc-soukra-rsidence-azize/6a97f99e33f4b02206beb740/,location,appartement,Location grand S+4 au rue du parc Soukra Résidence Azize,Ariana,La Soukra,1400.0,,4,2,140,1er étage,False,False,False,True,True,False,"Location grand S+4 au rue du parc Soukra Résidence Azize  | Tayara Publicité Contactez-nous : +216 95 256 096 Explorer Nos boutiques ImmoNeuf Promoteurs Offres et services Votre récente recheche: Pas de recheches récentes Filtre avancé Publier une annonce Se connecter Boutiques ImmoNeuf Annonce Messages Profil Retour Accueil appartements ariana la-soukra location-grand-s4-au-rue-du-parc-soukra-rsidence-azize ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ Accueil Appartements Ariana La soukra Location grand s4 au rue du parc soukra rsidence azize Boutique cabinet immo 11 annonce(s) L'Aouina, 10 Avenue Mongi Slim، 2046 Chat avec le vendeur Discuter sur WhatsApp Afficher le numéro Simulez votre crédit Nous Contacter Partager l ' annonce Signaler Location grand S+4 au rue du parc Soukra Résidence Azize 1 400 DT immobilier Ariana , a day ago Entregitrer Signaler Description Votre agence Cabinet Immo vous propose à la location un grand appartement S+4 au 1er étage à la Résidence Azize (R+1) au rue du parc Soukra.
L'appartement se compose comme suit:
- un grand salon
- une grande cuisine aménagée 
- une salle d'eau invités 
- une salle de bains 
- deux chambres à coucher avec dressing
- une grande chambre parentale 
- chauffage central et climatisation en Split
Pour plus d'informations ou réservation de votre visite gratuite contactez nous aux Afficher le numéro ou Afficher le numéro ( WhatsApp aussi) Lire plus Critères Type de transaction À Louer Superficie 140 Salles de bains 2 Chambres 3 Vous trouverez aussi chez cabinet immo n'a pas d'autres annonces actives Boutique cabinet immo Chat avec le vendeur Acheter et vendre gratuitement près de chez vous Immo-Expert Aide Contactez-nous Professionnels Conditions d'utilisation Politiques relatives aux cookies Raccourcis Publier une annonce Visiter une boutique Filtres avancés Rechercher sur tayara Offres et services Bons plans Contactez-nous Vous avez une question? appelez ce numéro +216 95 256 096 Retrouvez-nous sur • صوّر بيع • لوّج إشري",2026-09-03T12:51:03
tayara_6a8d251e509ae3528dce8ed1,tayara,https://www.tayara.tn/item/appartements/tunis/jardins-de-carthage/a-louer-s1-haut-standing-aux-jardins-de-carthage/6a8d251e509ae3528dce8ed1/,location,appartement,a louer s+1 haut standing aux jardins de Carthage,Tunis,Jardins De Carthage,1150.0,,1,1,70,,True,False,False,False,True,False,"a louer s+1 haut standing aux jardins de Carthage | Tayara Publicité Contactez-nous : +216 95 256 096 Explorer Nos boutiques ImmoNeuf Promoteurs Offres et services Votre récente recheche: Pas de recheches récentes Filtre avancé Publier une annonce Se connecter Boutiques ImmoNeuf Annonce Messages Profil Retour Accueil appartements tunis jardins-de-carthage a-louer-s1-haut-standing-aux-jardins-de-carthage ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ Accueil Appartements Tunis Jardins de carthage A louer s1 haut standing aux jardins de carthage Boutique kchaou immobiliere 33 annonce(s) Chat avec le vendeur Discuter sur WhatsApp Afficher le numéro Simulez votre crédit Nous Contacter Partager l ' annonce Signaler a louer s+1 haut standing aux jardins de Carthage 1 150 DT immobilier Tunis , 6 hours ago Entregitrer Signaler Description Agence immobilière KCHAOU propose à la location un joli appartement s+1 dans une résidence bien sécurisée et avec double ascenseur, l appartement est composé d un salon avec balcon 
une chambre à coucher 
Cuisine équipée 
sdb 
2climatiseurs 
chauffage central 
Loyer 1150d +50d frais syndic 
pour plus d informations veuillez nous contacter au Afficher le numéro Lire plus Critères Type de transaction À Louer Superficie 70 Salles de bains 1 Chambres 1 Vous trouverez aussi chez kchaou immobiliere n'a pas d'autres annonces actives Boutique kchaou immobiliere Chat avec le vendeur Acheter et vendre gratuitement près de chez vous Immo-Expert Aide Contactez-nous Professionnels Conditions d'utilisation Politiques relatives aux cookies Raccourcis Publier une annonce Visiter une boutique Filtres avancés Rechercher sur tayara Offres et services Bons plans Contactez-nous Vous avez une question? appelez ce numéro +216 95 256 096 Retrouvez-nous sur • صوّر بيع • لوّج إشري",2026-09-03T12:51:05
tayara_6a478d664956ba003a384616,tayara,https://www.tayara.tn/item/appartements/nabeul/hammam-ghezze/appartement-deuieme-position-a-hamem-leghzez-kelibia/6a478d664956ba003a384616/,vente,appartement,appartement deuieme position a hamem leghzez kelibia,Nabeul,Hammam Ghezze,210000.0,,,1,100,,False,False,False,False,False,False,"appartement deuieme position a hamem leghzez kelibia | Tayara Publicité Contactez-nous : +216 95 256 096 Explorer Nos boutiques ImmoNeuf Promoteurs Offres et services Votre récente recheche: Pas de recheches récentes Filtre avancé Publier une annonce Se connecter Boutiques ImmoNeuf Annonce Messages Profil Retour Accueil appartements nabeul hammam-ghezze appartement-deuieme-position-a-hamem-leghzez-kelibia ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ Accueil Appartements Nabeul Hammam ghezze Appartement deuieme position a hamem leghzez kelibia Boutique immo plus kelibia 73 annonce(s) Avenu Ali bachhamba, Kélibia 8090 Chat avec le vendeur Discuter sur WhatsApp Afficher le numéro Simulez votre crédit Nous Contacter Partager l ' annonce Signaler appartement deuieme position a hamem leghzez kelibia 210 000 DT immobilier Nabeul , a day ago Entregitrer Signaler Description 🔥فرصة فرصة فرصة اخلط على اخر برطمان  في بحر حمام الغزاز
ثواني  تكون في الشط🌊🏡
 بلاصة ممتازة جدا (مطاعم-مقاهي-maison d'hotes)
2تراسات كبار يعملو الكيف
صالة كبيرة كوجينة كل بيت فيهاdressing+دوش
📐 المساحة: 𝟏𝟎𝟎 متر مربع
📜 شهادة ملكية  متوفرة
📞 للاستفسار والزيارة: Afficher le numéro /
📲 Afficher le numéro واتساب Voir moins Voir moins Lire plus Critères Type de transaction À Vendre Superficie 100 Salles de bains 1 Chambres 2 Vous trouverez aussi chez immo plus kelibia n'a pas d'autres annonces actives Boutique immo plus kelibia Chat avec le vendeur Acheter et vendre gratuitement près de chez vous Immo-Expert Aide Contactez-nous Professionnels Conditions d'utilisation Politiques relatives aux cookies Raccourcis Publier une annonce Visiter une boutique Filtres avancés Rechercher sur tayara Offres et services Bons plans Contactez-nous Vous avez une question? appelez ce numéro +216 95 256 096 Retrouvez-nous sur • صوّر بيع • لوّج إشري",2026-09-03T12:51:07
tayara_6a995b8bb6ae14216f5e7fd4,tayara,https://www.tayara.tn/item/appartements/tunis/tunis/studio-louer-la-gazelle-essahafa-ariana/6a995b8bb6ae14216f5e7fd4/,location,appartement,Studio à louer à la Gazelle essahafa Ariana,Tunis,Tunis,,,,1,70,,False,False,False,True,False,False,"Studio à louer à la Gazelle essahafa Ariana  | Tayara Publicité Contactez-nous : +216 95 256 096 Explorer Nos boutiques ImmoNeuf Promoteurs Offres et services Votre récente recheche: Pas de recheches récentes Filtre avancé Publier une annonce Se connecter Boutiques ImmoNeuf Annonce Messages Profil Retour Accueil appartements tunis tunis studio-louer-la-gazelle-essahafa-ariana ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ Accueil Appartements Tunis Tunis Studio louer la gazelle essahafa ariana studio à louer 1 annonce(s) Chat avec le vendeur Discuter sur WhatsApp Afficher le numéro Simulez votre crédit Partager l ' annonce Signaler Studio à louer à la Gazelle essahafa Ariana 600 DT immobilier , a few seconds ago Entregitrer Signaler Description A louer studio à la Gazelle essahafa Ariana prés terminus bus 527 situé dans une résidence calme composé de deux chambres une cuisine salle d'eau avec douche équipé d'un climatiseur gaz naturel Lire plus Critères Type de transaction À Louer Superficie 70 Salles de bains 1 Chambres 2 studio à louer Chat avec le vendeur Acheter et vendre gratuitement près de chez vous Immo-Expert Aide Contactez-nous Professionnels Conditions d'utilisation Politiques relatives aux cookies Raccourcis Publier une annonce Visiter une boutique Filtres avancés Rechercher sur tayara Offres et services Bons plans Contactez-nous Vous avez une question? appelez ce numéro +216 95 256 096 Retrouvez-nous sur • صوّر بيع • لوّج إشري",2026-09-03T12:51:10
tayara_6a3aaca6b2b93a99b976a456,tayara,https://www.tayara.tn/item/appartements/tunis/sidi-daoud/a-louer-s2-meubl-avec-jardin-sidi-daoud/6a3aaca6b2b93a99b976a456/,location,appartement,A Louer S2 Meublé avec Jardin à Sidi Daoud,Tunis,Sidi Daoud,2300.0,,2,1,100,,False,True,False,False,False,True,"A Louer S2 Meublé avec Jardin à Sidi Daoud | Tayara Publicité Contactez-nous : +216 95 256 096 Explorer Nos boutiques ImmoNeuf Promoteurs Offres et services Votre récente recheche: Pas de recheches récentes Filtre avancé Publier une annonce Se connecter Boutiques ImmoNeuf Annonce Messages Profil Retour Accueil appartements tunis sidi-daoud a-louer-s2-meubl-avec-jardin-sidi-daoud ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ ❯ ❮ Accueil Appartements Tunis Sidi daoud A louer s2 meubl avec jardin sidi daoud Boutique good life 39 annonce(s) 106 bis Avenue de Carthage Aïn Zaghouan 2045 Tunis, Tunisie Chat avec le vendeur Discuter sur WhatsApp Afficher le numéro Simulez votre crédit Nous Contacter Partager l ' annonce Signaler A Louer S2 Meublé avec Jardin à Sidi Daoud 2 300 DT immobilier Tunis , a day ago Entregitrer Signaler Description L'agence immobilière Good Life vous propose à la location un appartement S2 meublé, avec Jardin situé dans une résidence calme à Sidi Daoud.
Il est composé d'un Salon avec baie vitrée ouvrant sur le jardin, d'une cuisine entièrement équipée et avec séchoir., d'une salle d'eau, de deux chambres et d'une salle de bain.
Une Place de parking est à disposition au sous-sol.
Pour une visite ou plus de renseignements, merci de nous contacter par téléphone ou via WhatsApp au Afficher le numéro . Lire plus Critères Type de transaction À Louer Superficie 100 Salles de bains 1 Chambres 2 Vous trouverez aussi chez good life n'a pas d'autres annonces actives Boutique good life Chat avec le vendeur Acheter et vendre gratuitement près de chez vous Immo-Expert Aide Contactez-nous Professionnels Conditions d'utilisation Politiques relatives aux cookies Raccourcis Publier une annonce Visiter une boutique Filtres avancés Rechercher sur tayara Offres et services Bons plans Contactez-nous Vous avez une question? appelez ce numéro +216 95 256 096 Retrouvez-nous sur • صوّر بيع • لوّج إشري",2026-09-03T12:51:13
